,ORDER,Time,Location,"Type of bomb (Incendiary Bomb= IB Explosive Bomb= EB, COB= Crude Oil Bomb)",Damage or other details (All dimensions at in ft unless stated)
,727,22:09,"Sandford Street SE14, London, UK",IB,1/4 acre of grass burned. 
,728,22:09,"Culloden Street, E14, London, UK",IB,Number of IB burned out on road
,729,22:09,"239 East India Dock Road, Poplar, E14, London, UK",IB,Back room on 1st floor damaged. 
,730,22:13,"Lower Buoy, Limehouse Reach E, London, UK",IB,5 dumb barges severely damaged
,731,22:17,"Nunhead Lane, Camberwell SE15, London, UK",EB,"A building, owned by wax paper manufacturers, severely damaged by explosion."
,732,22:21,"Lollard Street SE11, London, UK",Ib,IB burned out in street
,733,22:23,"87 York Road, Lambeth SE1, London, UK",Ib,IB in grounds
,734,22:24,"747, Commercial RD E14, London, UK",IB,"British Sailors Society-Empire Memorial Hostel for Sailors- 2x1 ft of pathway slightly damaged, breakage in yard"
,735,22:30,"38 Hundson Road, Newcross SE14, London, UK",IB,Front room on 1st floor severely damaged
,736,22:30,"Greenfield Street, Deptford, SE8, London, UK",Magnesium Flare,2x1 roadway damage.
,737,22:30,"Sandford Street SE14, London, UK",IB,1/4 acre of grass burned. 
,738,22:30,"20 Hereford Street, Bethnal Green, E2, London, UK",IB,House of 6 rooms and 1/2 of contents severely damaged
,739,22:31,"Silwood Street Rotherhithe Se16, London, UK",IB,IB burned out in street. 
,740,22:31,"Island Row E14, London, UK",IB,1x1 ft of paving slightly destroyed
,741,22:34,"Gallions Reach, Woolwich, S.E, London, UK",Unknown enemy action,4 dumb barges and contents damaged and sunk
,742,22:36,"Avonley Road, Newcross, SE14, London, UK",EB,"South Eastern Hospital, Nurses Quarters and wards Nos. 1 & 10 damaged by explosion. 1 male and 4 females killed. 1 male and 2 femaies injured"
,743,22:40,"47 Ordnance Crescent, Greenwich  SE10, London, UK",IB,Back room on 1st floor and contents damaged
,744,22:45,"Berkshire Eoad, Hackney Wick E9, London, UK",IB,Rag and metal merchants- A quantity of stock damaged in yard
,745,22:45,"9 Franklin Street, Bromley, E3, London, UK",IB,Back room on 1st floor damaged with contents
,746,22:47,"Trinity Wharf Buoy, Limehouse Reach. E., London, UK",IB,"2 dumb barges, unladen, damaged"
,747,22:47,"Rotherhithe Wharf, Rotherhithe Street, lower Pool, S.E, London, UK",IB,dumb barge and contents severely damaged
,748,22:47,"Rotherhithe Wharf, Rotherhithe Street, lower Pool, S.E, London, UK",Unknown enemy action,dumb barge and contents damaged by fire and sunk
,749,22:54,"Commercial Dock Pier, Rotherhithe Street, Limehouse Reach, S.E, London, UK",Unknown enemy action,8 dumb barges severely damaged
,750,22:54,"Commercial Dock Pier, Rotherhithe Street, Limehouse Reach, S.E, London, UK",Unknown enemy action,seven dumb barges damaged
,751,22:55,"Evelina Road, Camberwell, SE15, London, UK",EB ,"40x40 one floor building, severely damaged, used as a mission hall."
,752,22:55,"4 Stangate Street SE1, London, UK",Ib,Minor fire and explosion damage
,753,22:56,"Victoria Way Charlton, 266, Woolwich Road, Charlton, SE7, London, UK",EB,"40x30 roadway severely damged, gas main fractured, 20 private houses danaged"
,754,22:57,"1-9 Seward Street, EC1, London, UK",IB,"120x80, range of buildings, contents, roofs and all floors damaged."
,755,22:57,"114 Lower March, Lambeth, Se11, London, UK",Ib,Minor fire and explosion damage
,756,22:58,"30 Rashmore Road, Charlton, SE7. 28, London, UK",IB,2 Private houses each with 6 rooms damaged. One male burned to death.
,757,22:59,"63, Chancery lane, WC1, London, UK",IB,2x1 roadway damage
,758,22:59,"4, Southampton Buildings WC1, London, UK",IB,two offices slightly damaged
,759,23:00,"Grays Inn Road WC1, London, UK",IB,"anti aircraft shell, unexploded. 2x1 roadway damage, water mains damage"
,760,23:00,"Hollydale Road, Peckham, SE15, London, UK",EB,80x60 three floor building damaged
,761,23:00,"Hollydale Road, Peckham SE15, London, UK",EB,18 private houses damaged
,762,23:00,"66 Hundson Road, Newcross, SE14, London, UK",EB,Bomb burned out in garden
,763,23:00,"181 Wellmeadow Road, Catford, SE6, London, UK",EB & IB,"House of eight rooms, back room on groung floor and contents damaged by fire"
,764,23:00,"Alnwick Road Eltham Se12, London, UK",-,quarter of acre of grass burned
,765,23:00,"34 Winn Road Lee, SE12, London, UK",-,house of 7 rooms damaged
,766,23:00,"31-37 Abernethy Road Lewisham Se13, London, UK",-,"four houses, each with 6 rooms slightly damaged"
,767,23:00,"Stonhouse Street, Clapham, SW4, London, UK",-,Suspected presence of IB
,768,23:04,"216 Goswel Road, EC1, London, UK",IB,"Workshop on ground floor damaged, roof partly off"
,769,23:05,"Strand WC2, London, UK",IB,2x1 roof damage
,770,23:06,"240 Goswell Road, EC1, London, UK",IB,2x1 roadway damage
,771,23:08,"107-111, Newington Butts, SE11, London, UK",IB,"F & Tyler Furniture shop. 3 floor building 180x70, used as showrooms offices  store, damaged and roof off."
,772,23:08,"133-139 Newington Butts, SE11, London, UK",EB & IB,"Furniture shop, 3 floor building 90x40 damaged"
,773,23:08,"141, Newington Butts, SE11, London, UK",EB & IB,3 floors and basement damaged. 2/3 of content damaged
,774,23:08,"129-131, Newington Butts, SE11, London, UK",EB & IB,50x40 three floors of mens clothing shop damaged
,775,23:08,"2-8 Crampton Street, Southwark, SE17, London, UK",EB & IB,"130x60 three floor building, shops and content damaged"
,776,23:08,"86-102 Newington Butts, SE11, London, UK",EB & IB,10 shops and houses damaged
,777,23:08,"147 Walworth Road, SE17, London, UK",EB & IB,South East Southwark Conservative and Unionist Association. Club room and ground floor damaged
,778,23:10,"8-12 Dundas Road Camberwell SE15, London, UK",Eb,3 private houses damaged
,779,23:10,"105-113 Tyrwhitt Road, Brockley, SE4, London, UK",-,Five private houses severely damaged
,780,23:10,"Glenton Road, Leiwsham SE13, London, UK",IB,IB in street
,781,23:10,"Tarn Street, Camberwell, Greater London, SE1, London, UK",IB,2x1 paving damage
,782,23:10,"Braganza Street, Se17, London, UK",IB,IB burned out in street
,783,23:10,"82 Reculver Road, Rotherhithe, SE16, London, UK",IB,Front of house and shop scorched
,784,23:11,"Westminster Bridge, SW1, London, UK",IB,Suspected presence of IB
,785,23:11,"215-217, Commercial Road, Stepney E1, London, UK",IB,Building of three floors and a shop and house of 7 rooms severely damaged
,786,23:11,"Tynte Street, Homerton E9, London, UK",IB,2x1 roof damage
,787,23:12,"Lewisham Hospital, Lewisham , SE13, London, UK",-,Bomb splinters
,788,23:15,"Rolt Street, Deptford, SE8, London, UK",IB,IB burned out in street. 
,789,23:20,"36-38 Cliffview Road, Lewisham SE13, London, UK",EB,2 private houses damaged
,790,23:20,"31 Amelia Street, Walworth Se17, London, UK",IB,Coal Merchants. Timber shed building50x30  used as storeand contents damaged
,791,23:20,"Carpenters Rd E15, London, UK",EB and IB,Waste Rubber Merchants- Some stock in yard and a range of buildings covering an area of about 200x100 feet severely damaged
,792,23:21,"Bedford Road, WC1, London, UK",IB,"shop and house of 7 rooms damaged with contents, upper part of house slightly damaged"
,793,23:22,"1 Philpot Street, Stepney, E1, London, UK",IB,"Coal Merchant-Building of 2 floors about 60x 40 ft (used as workshops, office and store) and contents damaged by fire. Rest of building and contents slightly damaged"
,794,23:25,"Upbrook Mews, Hyde Park, w2, London, UK",IB,"30 private houses damaged by explosion, 1 person killed, 17 injured and moved to hospital"
,795,23:28,"Wallis Road, Hackney Wick, E9, London, UK",IB,"Sweet manufacturers- A building of 3 floors about 100x 40 ft(used as machine room, work room and store) third floor and contents severely damaged."
,796,23:29,"2 Leamore St, Hammersmith, w6, London, UK",IB,"1st floor landing and contents slightly damaged, roof damage"
,797,23:30,"140 Dorset House, Marylebone Road, NW1, London, UK",IB,The bomb bured out the 8ths floor verandah
,798,23:30,"Baker Street, w1, London, UK",-,fire caused by flame falling from aircraft
,799,23:31,"Seymour Buildings, Seymour Place, Westminister, London W1, London, UK",IB,Two bombs burnt out roof and back area
,800,23:31,"Addison Road, Kensington, w14, London, UK",IB,4x2 roadway damage 
,801,23:31,"Railway Arches, Hammersmith Grove, Hammersmith, w6, London, UK",IB,timber shed building and its contents damaged
,802,23:32,"Eade Road, Finsbury Park, N4, London, UK",IB,IB(unignited)
,803,23:34,"Crawford Street, w1, London, UK",IB,1x1 ft of damage to roadway
,804,23:34,"Holland Villas Road , Kensington W1, London, UK",IB,4x2 roadway damage 
,805,23:34,"158 Sussec Gardens, w2, London, UK",IB,bomb burned out on a waste ground
,806,23:35,"9 Kensington Palace Gardens, w8, London, UK",IB,4x2 ft of roof damage.
,807,23:35,"1-15 Haddo Terrace, Greenwich SE10, London, UK",EB,8 houses damaged
,808,23:35,"Prior Street Greenwich, SE10, London, UK",EB,South Met Gas Company: 40x30 carriageway. Gas destroyed
,809,23:35,"Vauxhall Walk, Lambeth, Se11, London, UK",IB,IB burned out in street
,810,23:36,"99-101 Cambridge heath Road, Bethnal Green, E2, London, UK",IB,"B. and R. Goldfarb, Ltd. Wholesale tobacconists. 60x40 four floor building, used as showrooms offices and stores,. Two top floors and contnts damaged"
,811,23:38,"94 Royal Hill, Greenwich SE10, London, UK",EB,"Grocer, shop and house of 8 rooms"
,812,23:38,"96 Royal Hill, Greenwich SE10, London, UK",EB,"Baker, shop and house of 6 rooms"
,813,23:38,"98 Royal Hill, Greenwich SE10, London, UK",EB,Greengrocer shop and house of 6 rooms damaged
,814,23:39,"Polygon Road, NW1, London, UK",IB,"Back room on ground floor and contents damaged, 2x1  of roof damaged."
,815,23:39,"New Kent Road, Se1 and Trocadero Cinema , London, UK",EB,6x4 roadway and paving damaged. Cinema window broken
,816,23:41,"Steedman  Street, Se17, London, UK",IB,Coal Merchants. Timber shed building 30x20 used as storeand contents damaged
,817,23:41,"117 Walworth Road, Se17, London, UK",IB,2x1 roof damage
,818,23:43,"50, Rushey Gren, Catford, Se6, London, UK",-,Falling Shrapnel
,819,23:45,"Westferry Road, Docklands, London E14, London, UK",COB,"Preserving manufacturers- building of two floors, 10 x 40 ft, used as workshops and stores. Top floor and contents damaged."
,820,23:45,"Thorpes Wharf, Brewhouse Lane, Stopney E1, London, UK",EB,Building of 7 floors and basement about 150 x 100 ft (used as office and ) about 1/3 of building and contents severely damaged.
,821,23:45,"Pier Road, North Woolwich, E16, London, UK",IB,M. B Foster and Sons. Bottlers. 40x30 of deck planking damaged. Cutting away on quay side. 
,822,23:46,"2 Athol Street, Poplar E14, London, UK",EB,"4 private houses of 6 rooms severely damaged, Collapsed. 35 buildings damaged by explosion, 1 male severly injured, (since dead)"
,823,23:46,"24-48 Dee Street, Poplar E14. 2-22., London, UK",EB,"London Country Council. 18 Private houses of 6 rooms and contnts, garages damaged. One van, one car, a staff car all destoryed. 24 inch gas main, 4 inch service pipe, 80x60 roadway damaged. 76 buildings damaged. Firemen, Strutton and Westwood, severely injured, since dead. 2 males and 1 female air raid warden severely injured, since dead. "
,824,23:46," Culloden Street School, Poplar, E14. , London, UK",EB,"London Country Council. 18 Private houses of 6 rooms and contnts, garages damaged. One van, one car, a staff car all destoryed. 24 inch gas main, 4 inch service pipe, 80x60 roadway damaged. 76 buildings damaged. Firemen, Strutton and Westwood, severely injured, since dead. 2 males and 1 female air raid warden severely injured, since dead. "
,825,23:46,"50 -68 and 41-71 Aberfeldy Street Poplar, E14., London, UK",EB,"London Country Council. 18 Private houses of 6 rooms and contnts, garages damaged. One van, one car, a staff car all destoryed. 24 inch gas main, 4 inch service pipe, 80x60 roadway damaged. 76 buildings damaged. Firemen, Strutton and Westwood, severely injured, since dead. 2 males and 1 female air raid warden severely injured, since dead. "
,826,23:46,"2-36 and 1-37 Ettrick Street Poplar, E14, London, UK",EB,"London Country Council. 18 Private houses of 6 rooms and contnts, garages damaged. One van, one car, a staff car all destoryed. 24 inch gas main, 4 inch service pipe, 80x60 roadway damaged. 76 buildings damaged. Firemen, Strutton and Westwood, severely injured, since dead. 2 males and 1 female air raid warden severely injured, since dead. "
,827,23:48,"139 Walworth Road Se17, London, UK",IB,Shop and house of 8 rooms damaged
,828,23:48,"30 Kenton Road, Hackney E9, London, UK",EB,Alarm Caused by unexploded bomb in private house
,829,23:52,"Mare Street, Hackney, E9, London, UK",EB,4 shops and 10 house severely damage. And 50 houses damaged by the explosion
,830,23:52,"186, 188, 190 and 192. 233-251, 201-231 and 253-257., London, UK",EB,4 shops and 10 house severely damage. And 50 houses damaged by the explosion
,831,23:52,"9 Lyme Grove, Hackney , e9, London, UK",EB,Roadway and 1 private houses damaged
,832,23:52,"12. St. Thomas Square E9, London, UK",EB,"Roadway and 1 private houses severely damaged, and 20 houses damaged"
,833,23:52,"London Lane, Hackney, London E8, London, UK",EB,Roadway and 10 houses damaged
,834,23:54,"Tillostson Street, Dean Cross Street, Stepney, E1, London, UK",EB &IB,Minor fire damage in these areas.
,835,23:55,"41-47 Abernethy Road, Lee SE12, London, UK",EB,"four houses, each with 6 rooms severely damaged"
,836,23:56,"17, 17a, 17b, Doris Street, SE11, London, UK",EB,Buildings damaged
,837,23:58,"Eckington Gardens, Newcross SE14, London, UK",IB,"6x6 of pavement damage, (Deptford Borough Council)"
,838,23:58,"72-74 Ansdell Road, Peckham, SE15, London, UK",EB,2 private houses damaged
,839,23:58,"Valentine Road, Hackney E9, London, UK",EB,"Roadway and 4 private houses severely damaged, and 20 houses damaged"
,840,23:58,"Poole Road, London E9 7AE, London, UK",EB,"Roadway and 3 private houses severely damaged, and 24 houses damaged"
,841,23:59,"189, Sussex Gardens W2, London, UK",IB,"2x1 damage on roof, balck room on 5th floor and contents damaged"
,842,23:59,"Bale Rd, Tower Hamlets, London E1 4QJ, United Kingdom, London, UK",EB,Two houses each of 6 rooms and contents severely damaged. Many houses in this thoroughfare damaged by explosion
,843,23:59,"Benledi Street, Poplar E14, London, UK",EB and IB,"57 buildings damaged by explosion. 4 persons severely injured, extricated by the Brigade and removed to hospital"
